	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
1236	Peromyscus maniculatus bairdii	230844	PRJNA738144	738144	Animals	Mammals	2512.44	42.6588	GCA_003704035.3	chromosome 1:NC_056008.1/CM010879.2; chromosome 2:NC_056009.1/CM010880.2; chromosome 3:NC_056010.1/CM010881.2; chromosome 4:NC_056011.1/CM010882.2; chromosome 5:NC_056012.1/CM010883.2; chromosome 6:NC_056013.1/CM010884.2; chromosome 7:NC_056014.1/CM010885.2; chromosome 8:NC_056015.1/CM010886.1; chromosome 9:NC_056016.1/CM010887.2; chromosome 10:NC_056017.1/CM010888.2; chromosome 11:NC_056018.1/CM010889.2; chromosome 12:NC_056019.1/CM010890.2; chromosome 13:NC_056020.1/CM010891.2; chromosome 14:NC_056021.1/CM010892.2; chromosome 15:NC_056022.1/CM010893.2; chromosome 16:NC_056023.1/CM010894.2; chromosome 17:NC_056024.1/CM010895.2; chromosome 18:NC_056025.1/CM010896.2; chromosome 19:NC_056026.1/CM010897.2; chromosome 20:NC_056027.1/CM010898.1; chromosome 21:NC_056028.1/CM010899.2; chromosome 22:NC_056029.1/CM010900.2; chromosome 23:NC_056030.1/CM010901.2; chromosome X:NC_056031.1/CM010902.2; mitochondrion MT:NC_039921.1/	RCWR01	8524	36461.0	54234.0	2018/10/30	2020/10/29	Chromosome	NCBI	SAMN10150431	1.4874523463426674
1237	Peromyscus leucopus	10041	PRJNA533285	533285	Animals	Mammals	2475.18	42.235	GCA_004664715.2	chromosome 1:NC_051063.1/CM026041.1; chromosome 2:NC_051064.1/CM026042.1; chromosome 3:NC_051065.1/CM026043.1; chromosome 4:NC_051066.1/CM026044.1; chromosome 5:NC_051067.1/CM026045.1; chromosome 6:NC_051068.1/CM026046.1; chromosome 7:NC_051069.1/CM026047.1; chromosome 9:NC_051070.1/CM026048.1; chromosome 10:NC_051071.1/CM026049.1; chromosome 11:NC_051072.1/CM026050.1; chromosome 12:NC_051073.1/CM026051.1; chromosome 13:NC_051074.1/CM026052.1; chromosome 14:NC_051075.1/CM026053.1; chromosome 15:NC_051076.1/CM026054.1; chromosome 17:NC_051077.1/CM026055.1; chromosome 18:NC_051078.1/CM026056.1; chromosome 19:NC_051079.1/CM026057.1; chromosome 20:NC_051080.1/CM026058.1; chromosome 22:NC_051081.1/CM026059.1; chromosome 23:NC_051082.1/CM026060.1; chromosome X:NC_051083.1/CM026061.1; chromosome 16_21:NC_051084.1/CM026062.1; chromosome 8a:NC_051085.1/CM026063.1; chromosome 8b:NC_051086.1/CM026064.1; mitochondrion MT:NC_037180.1/	NMRJ02	1857	32259.0	48177.0	2019/04/05	2020/10/02	Chromosome	NCBI	SAMN03488028	1.4934436901329862
1240	Phalaenopsis equestris	78828	PRJNA382149	382149	Plants	Land Plants	1064.2	35.5002	GCA_001263595.1	chloroplast Pltd:NC_017609.1/	APLD01	89584	21938.0	29894.0	2015/08/07	2015/08/11	Scaffold	NCBI	SAMN02046388	1.3626584009481266
1243	Ophiocordyceps sinensis	72228	PRJNA608258	608258	Fungi	Ascomycetes	110.881	45.1	GCA_012934285.1		JAAVMX01	23	8916.0	9961.0	2020/04/30	2020/06/25	Contig	Institute of Zoology, Chinese Academy of Sciences	SAMN14168421	1.117205024674742
1257	Anopheles arabiensis	7173	PRJNA716336	716336	Animals	Insects	256.823	44.4808	GCA_016920715.1	chromosome 2:NC_053517.1/CM029352.1; chromosome 3:NC_053518.1/CM029353.1; chromosome X:NC_053519.1/CM029354.1; mitochondrion MT:NC_028212.1/CM029355.1	JADFTQ01	102	15763.0	25532.0	2021/02/18	2021/03/10	Chromosome	NCBI	SAMN14999448	1.6197424348157077
1261	Anopheles merus	30066	PRJNA719141	719141	Animals	Insects	294.38	44.2266	GCA_017562075.2	chromosome X:NC_054081.1/CM029762.1; chromosome 2R:NC_054082.1/CM029764.1; chromosome 2L:NC_054083.1/CM029763.1; chromosome 3R:NC_054084.1/CM029766.1; chromosome 3L:NC_054085.1/CM029765.1; mitochondrion MT:NC_028220.1/	JADFFO01	1328	16199.0	28438.0	2021/03/22	2021/04/27	Chromosome	NCBI	SAMN14825642	1.7555404654608309
1269	Anopheles albimanus	7167	PRJNA657052	657052	Animals	Insects	172.603	48.9866	GCA_013758885.1	chromosome X:NC_050155.1/CM024294.1; chromosome 2:NC_050156.1/CM024292.1; chromosome 3:NC_050157.1/CM024293.1	JABUIU01	7	12945.0	23947.0	2020/07/27	2020/08/06	Chromosome	NCBI	SAMN14582895	1.849903437620703
1270	Sesamum indicum	4182	PRJNA268358	268358	Plants	Land Plants	275.059	35.2239	GCA_000512975.1	linkage group LG1:NC_026145.1/CM002349.1; linkage group LG2:NC_026146.1/CM002357.1; linkage group LG3:NC_026147.1/CM002358.1; linkage group LG4:NC_026148.1/CM002359.1; linkage group LG5:NC_026149.1/CM002360.1; linkage group LG6:NC_026150.1/CM002361.1; linkage group LG7:NC_026151.1/CM002362.1; linkage group LG8:NC_026152.1/CM002363.1; linkage group LG9:NC_026153.1/CM002364.1; linkage group LG10:NC_026154.1/CM002350.1; linkage group LG11:NC_026155.1/CM002351.1; linkage group LG12:NC_026156.1/CM002352.1; linkage group LG13:NC_026157.1/CM002353.1; linkage group LG14:NC_026158.1/CM002354.1; linkage group LG15:NC_026159.1/CM002355.1; linkage group LG16:NC_026160.1/CM002356.1; chloroplast Pltd:NC_016433.2/	APMJ01	16369	26667.0	35410.0	2013/12/24	2017/05/23	Chromosome	NCBI	SAMN02981519	1.327858401769978
1273	Plutella xylostella	51655	PRJEB51184	810683	Animals	Insects	323.303	38.3224	GCA_932276165.1	chromosome 2:NC_063982.1/OW026580.1; chromosome 3:NC_063983.1/OW026569.1; chromosome 4:NC_063984.1/OW026557.1; chromosome 5:NC_063985.1/OW026554.1; chromosome 6:NC_063986.1/OW026560.1; chromosome 7:NC_063987.1/OW026571.1; chromosome 8:NC_063988.1/OW026565.1; chromosome 9:NC_063989.1/OW026558.1; chromosome 10:NC_063990.1/OW026559.1; chromosome 11:NC_063991.1/OW026583.1; chromosome 12:NC_063992.1/OW026561.1; chromosome 13:NC_063993.1/OW026562.1; chromosome 14:NC_063994.1/OW026567.1; chromosome 15:NC_063995.1/OW026555.1; chromosome 16:NC_063996.1/OW026574.1; chromosome 17:NC_063997.1/OW026572.1; chromosome 18:NC_063998.1/OW026566.1; chromosome 19:NC_063999.1/OW026570.1; chromosome 20:NC_064000.1/OW026575.1; chromosome 21:NC_064001.1/OW026568.1; chromosome 22:NC_064002.1/OW026556.1; chromosome 23:NC_064003.1/OW026563.1; chromosome 24:NC_064004.1/OW026582.1; chromosome 25:NC_064005.1/OW026573.1; chromosome 26:NC_064006.1/OW026577.1; chromosome 27:NC_064007.1/OW026578.1; chromosome 28:NC_064008.1/OW026576.1; chromosome 29:NC_064009.1/OW026564.1; chromosome 30:NC_064010.1/OW026581.1; chromosome 31:NC_064011.1/OW026579.1; chromosome Z:NC_064012.1/OW026553.1; mitochondrion MT:OW026584.1	CAKNZZ01	33	16283.0	22256.0	2022/02/28	2022/03/03	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7520369	1.366824295277283
1280	Sparus aurata	8175	PRJEB31901	529849	Animals	Fishes	833.595	41.9489	GCA_900880675.1	chromosome 1:NC_044187.1/LR537121.1; chromosome 2:NC_044188.1/LR537122.1; chromosome 3:NC_044189.1/LR537123.1; chromosome 4:NC_044190.1/LR537124.1; chromosome 5:NC_044191.1/LR537125.1; chromosome 6:NC_044192.1/LR537126.1; chromosome 7:NC_044193.1/LR537127.1; chromosome 8:NC_044194.1/LR537128.1; chromosome 9:NC_044195.1/LR537129.1; chromosome 10:NC_044196.1/LR537130.1; chromosome 11:NC_044197.1/LR537131.1; chromosome 12:NC_044198.1/LR537132.1; chromosome 13:NC_044199.1/LR537133.1; chromosome 14:NC_044200.1/LR537134.1; chromosome 15:NC_044201.1/LR537135.1; chromosome 16:NC_044202.1/LR537136.1; chromosome 17:NC_044203.1/LR537137.1; chromosome 18:NC_044204.1/LR537138.1; chromosome 19:NC_044205.1/LR537139.1; chromosome 20:NC_044206.1/LR537140.1; chromosome 21:NC_044207.1/LR537141.1; chromosome 22:NC_044208.1/LR537142.1; chromosome 23:NC_044209.1/LR537143.1; chromosome 24:NC_044210.1/LR537144.1; mitochondrion MT:NC_024236.1/	CAAHFC01	176	32008.0	52790.0	2019/03/29	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA104384835	1.6492751812046988
1293	Rosa chinensis	74649	PRJNA438537	438537	Plants	Land Plants	515.119	38.8409	GCA_002994745.2	chromosome 1:NC_037088.1/CM009582.1; chromosome 2:NC_037089.1/CM009583.1; chromosome 3:NC_037090.1/CM009584.1; chromosome 4:NC_037091.1/CM009585.1; chromosome 5:NC_037092.1/CM009586.1; chromosome 6:NC_037093.1/CM009587.1; chromosome 7:NC_037094.1/CM009588.1; mitochondrion MT:CM009589.1; chloroplast Pltd:CM009590.1	PDCK01	53	41505.0	48337.0	2018/03/13	2019/01/15	Chromosome	NCBI	SAMN07737764	1.1646066738947114
1300	Phytophthora nicotianae INRA-310	761204	PRJNA259235	259235	Protists	Other Protists	82.3892	49.4	GCA_000247585.2		AGFV02	708	23240.0	27942.0	2012/02/13	2014/08/27	Scaffold	NCBI	SAMN02981373	1.2023235800344234
1303	Prunus avium	42229	PRJDB4877	388785	Plants	Land Plants	272.362	38.8	GCA_002207925.1		BDGV01	10148	30405.0	35009.0	2017/06/01	2018/05/11	Scaffold	Kazusa DNA Research Institute	SAMD00052827	1.1514224634106232
1305	Cynoglossus semilaevis	244447	PRJNA251742	251742	Animals	Fishes	470.199	41.2788	GCA_000523025.1	chromosome 1:NC_024307.1/CM002373.1; chromosome 2:NC_024308.1/CM002374.1; chromosome 3:NC_024309.1/CM002375.1; chromosome 4:NC_024310.1/CM002376.1; chromosome 5:NC_024311.1/CM002377.1; chromosome 6:NC_024312.1/CM002378.1; chromosome 7:NC_024313.1/CM002379.1; chromosome 8:NC_024314.1/CM002380.1; chromosome 9:NC_024315.1/CM002381.1; chromosome 10:NC_024316.1/CM002382.1; chromosome 11:NC_024317.1/CM002383.1; chromosome 12:NC_024318.1/CM002384.1; chromosome 13:NC_024319.1/CM002385.1; chromosome 14:NC_024320.1/CM002386.1; chromosome 15:NC_024321.1/CM002387.1; chromosome 16:NC_024322.1/CM002388.1; chromosome 17:NC_024323.1/CM002389.1; chromosome 18:NC_024324.1/CM002390.1; chromosome 19:NC_024325.1/CM002391.1; chromosome 20:NC_024326.1/CM002392.1; chromosome W:NC_024327.1/CM002393.1; chromosome Z:NC_024328.1/CM002394.1; mitochondrion MT:NC_012825.1/	AGRG01	31181	25797.0	39241.0	2014/01/24	2014/01/28	Chromosome	NCBI	SAMN02595200	1.5211458696747684
1321	Ficedula albicollis	59894	PRJNA208061	208061	Animals	Birds	1118.34	44.2999	GCA_000247815.2	chromosome 1:NC_021671.1/CM001988.1; chromosome 1A:NC_021672.1/CM001989.1; chromosome 2:NC_021673.1/CM001990.1; chromosome 3:NC_021674.1/CM001991.1; chromosome 4:NC_021675.1/CM001992.1; chromosome 4A:NC_021676.1/CM001993.1; chromosome 5:NC_021677.1/CM001994.1; chromosome 6:NC_021678.1/CM001995.1; chromosome 7:NC_021679.1/CM001996.1; chromosome 8:NC_021680.1/CM001997.1; chromosome 9:NC_021681.1/CM001998.1; chromosome 10:NC_021682.1/CM001999.1; chromosome 11:NC_021683.1/CM002000.1; chromosome 12:NC_021684.1/CM002001.1; chromosome 13:NC_021685.1/CM002002.1; chromosome 14:NC_021686.1/CM002003.1; chromosome 15:NC_021687.1/CM002004.1; chromosome 17:NC_021688.1/CM002005.1; chromosome 18:NC_021689.1/CM002006.1; chromosome 19:NC_021690.1/CM002007.1; chromosome 20:NC_021691.1/CM002008.1; chromosome 21:NC_021692.1/CM002009.1; chromosome 22:NC_021693.1/CM002010.1; chromosome 23:NC_021694.1/CM002011.1; chromosome 24:NC_021695.1/CM002012.1; chromosome 25:NC_021696.1/CM002013.1; chromosome 26:NC_021697.1/CM002014.1; chromosome 27:NC_021698.1/CM002015.1; chromosome 28:NC_021699.1/CM002016.1; chromosome Z:NC_021700.1/CM002017.1; linkage group LG34:NC_021701.1/CM002018.1; linkage group LG35:NC_021702.1/CM002019.1; linkage group LGE22:NC_021703.1/CM002020.1; mitochondrion MT:NC_021621.1/KF293721.1	AGTO02	21836	16880.0	26464.0	2012/11/30	2014/08/11	Chromosome	NCBI	SAMN02981387	1.5677725118483412
1326	Camelus ferus	419612	PRJNA605179	605179	Animals	Mammals	2087.09	41.6638	GCA_009834535.1	chromosome 1:NC_045696.1/CM020768.1; chromosome 2:NC_045697.1/CM020769.1; chromosome 3:NC_045698.1/CM020770.1; chromosome 4:NC_045699.1/CM020771.1; chromosome 5:NC_045700.1/CM020772.1; chromosome 6:NC_045701.1/CM020773.1; chromosome 7:NC_045702.1/CM020774.1; chromosome 8:NC_045703.1/CM020775.1; chromosome 9:NC_045704.1/CM020776.1; chromosome 10:NC_045705.1/CM020777.1; chromosome 11:NC_045706.1/CM020778.1; chromosome 12:NC_045707.1/CM020779.1; chromosome 13:NC_045708.1/CM020780.1; chromosome 14:NC_045709.1/CM020781.1; chromosome 15:NC_045710.1/CM020782.1; chromosome 16:NC_045711.1/CM020783.1; chromosome 17:NC_045712.1/CM020784.1; chromosome 18:NC_045713.1/CM020785.1; chromosome 19:NC_045714.1/CM020786.1; chromosome 20:NC_045715.1/CM020787.1; chromosome 21:NC_045716.1/CM020788.1; chromosome 22:NC_045717.1/CM020789.1; chromosome 23:NC_045718.1/CM020790.1; chromosome 24:NC_045719.1/CM020791.1; chromosome 25:NC_045720.1/CM020792.1; chromosome 26:NC_045721.1/CM020793.1; chromosome 27:NC_045722.1/CM020794.1; chromosome 28:NC_045723.1/CM020795.1; chromosome 29:NC_045724.1/CM020796.1; chromosome 30:NC_045725.1/CM020797.1; chromosome 31:NC_045726.1/CM020798.1; chromosome 32:NC_045727.1/CM020799.1; chromosome 33:NC_045728.1/CM020800.1; chromosome 34:NC_045729.1/CM020801.1; chromosome 35:NC_045730.1/CM020802.1; chromosome 36:NC_045731.1/CM020803.1; chromosome X:NC_045732.1/CM020804.1; mitochondrion MT:NC_009629.2/	VSZR01	2043	33382.0	54519.0	2020/01/08	2020/02/10	Chromosome	NCBI	SAMN12102236	1.6331855490983165
1334	Prionailurus bengalensis	37029	PRJNA756971	756971	Animals	Mammals	2435.72	41.7873	GCA_016509475.2	chromosome A1:NC_057343.1/CM028179.1; chromosome B1:NC_057344.1/CM028182.1; chromosome C1:NC_057345.1/CM028186.1; chromosome D1:NC_057346.1/CM028188.1; chromosome E1:NC_057347.1/CM028192.1; chromosome A2:NC_057348.1/CM028180.1; chromosome B2:NC_057349.1/CM028183.1; chromosome C2:NC_057350.1/CM028187.1; chromosome D2:NC_057351.1/CM028189.1; chromosome E2:NC_057352.1/CM028193.1; chromosome F2:NC_057353.1/CM028196.1; chromosome A3:NC_057354.1/CM028181.1; chromosome B3:NC_057355.1/CM028184.1; chromosome D3:NC_057356.1/CM028190.1; chromosome E3:NC_057357.1/CM028194.1; chromosome B4:NC_057358.1/CM028185.1; chromosome D4:NC_057359.1/CM028191.1; chromosome E4:NC_057360.1/CM028195.1; chromosome X:NC_057361.1/CM028178.1; mitochondrion MT:NC_028301.1/	JADZGN01	84	30727.0	51608.0	2020/12/16	2021/07/29	Chromosome	NCBI	SAMN16486448	1.679565203241449
1339	Mesocricetus auratus	10036	PRJNA719779	719779	Animals	Mammals	2457.08	42.3	GCA_017639785.1	mitochondrion MT:NC_013276.1/	JAFVMI01	6347	36157.0	53064.0	2021/03/30	2021/03/30	Scaffold	NCBI	SAMN18096087	1.4675996349254639
1345	Amborella trichopoda	13333	PRJNA212863	212863	Plants	Land Plants	706.495	38.1	GCA_000471905.1	chloroplast Pltd:NC_005086.1/	AWHE01	5746	19521.0	31494.0	2013/09/27	2013/12/29	Scaffold	Amborella Genome Sequencing Project	SAMN02313977	1.6133394805593975
1347	Hippoglossus hippoglossus	8267	PRJNA627709	627709	Animals	Fishes	596.793	42.2689	GCA_009819705.1	chromosome 1:NC_047151.1/CM020190.1; chromosome 2:NC_047152.1/CM020191.1; chromosome 3:NC_047153.1/CM020192.1; chromosome 4:NC_047154.1/CM020193.1; chromosome 5:NC_047155.1/CM020194.1; chromosome 6:NC_047156.1/CM020195.1; chromosome 7:NC_047157.1/CM020196.1; chromosome 8:NC_047158.1/CM020197.1; chromosome 9:NC_047159.1/CM020198.1; chromosome 10:NC_047160.1/CM020199.1; chromosome 11:NC_047161.1/CM020200.1; chromosome 12:NC_047162.1/CM020201.1; chromosome 13:NC_047163.1/CM020202.1; chromosome 14:NC_047164.1/CM020203.1; chromosome 15:NC_047165.1/CM020204.1; chromosome 16:NC_047166.1/CM020205.1; chromosome 17:NC_047167.1/CM020206.1; chromosome 18:NC_047168.1/CM020207.1; chromosome 19:NC_047169.1/CM020208.1; chromosome 20:NC_047170.1/CM020209.1; chromosome 21:NC_047171.1/CM020210.1; chromosome 22:NC_047172.1/CM020211.1; chromosome 23:NC_047173.1/CM020212.1; chromosome 24:NC_047174.1/CM020213.1; mitochondrion MT:NC_009709.1/CM020214.1	WOYB01	57	27732.0	47030.0	2019/12/27	2019/12/31	Chromosome	NCBI	SAMN12629501	1.6958748016731573
1350	Megalobrama amblycephala	75352	PRJNA835491	835491	Animals	Fishes	1109.89	37.6529	GCA_018812025.1	linkage group LG1:NC_063044.1/CM032034.1; linkage group LG2:NC_063045.1/CM032035.1; linkage group LG3:NC_063046.1/CM032036.1; linkage group LG4:NC_063047.1/CM032037.1; linkage group LG5:NC_063048.1/CM032038.1; linkage group LG6:NC_063049.1/CM032039.1; linkage group LG7:NC_063050.1/CM032040.1; linkage group LG8:NC_063051.1/CM032041.1; linkage group LG9:NC_063052.1/CM032042.1; linkage group LG10:NC_063053.1/CM032043.1; linkage group LG11:NC_063054.1/CM032044.1; linkage group LG12:NC_063055.1/CM032045.1; linkage group LG13:NC_063056.1/CM032046.1; linkage group LG14:NC_063057.1/CM032047.1; linkage group LG15:NC_063058.1/CM032048.1; linkage group LG16:NC_063059.1/CM032049.1; linkage group LG17:NC_063060.1/CM032050.1; linkage group LG18:NC_063061.1/CM032051.1; linkage group LG19:NC_063062.1/CM032052.1; linkage group LG20:NC_063063.1/CM032053.1; linkage group LG21:NC_063064.1/CM032054.1; linkage group LG22:NC_063065.1/CM032055.1; linkage group LG23:NC_063066.1/CM032056.1; linkage group LG24:NC_063067.1/CM032057.1; mitochondrion MT:NC_010341.1/	JAGTWI01	243	38087.0	59927.0	2021/06/09	2021/06/09	Chromosome	NCBI	SAMN18522313	1.573424002940636
1353	Manduca sexta	7130	PRJNA674349	674349	Animals	Insects	470.037	35.6211	GCA_014839805.1	chromosome 1:NC_051115.1/CM026232.1; chromosome 2:NC_051116.1/CM026233.1; chromosome 3:NC_051117.1/CM026234.1; chromosome 4:NC_051118.1/CM026235.1; chromosome 5:NC_051119.1/CM026236.1; chromosome 6:NC_051120.1/CM026237.1; chromosome 7:NC_051121.1/CM026238.1; chromosome 8:NC_051122.1/CM026239.1; chromosome 9:NC_051123.1/CM026240.1; chromosome 10:NC_051124.1/CM026241.1; chromosome 11:NC_051125.1/CM026242.1; chromosome 12:NC_051126.1/CM026243.1; chromosome 13:NC_051127.1/CM026244.1; chromosome 14:NC_051128.1/CM026245.1; chromosome 15:NC_051129.1/CM026246.1; chromosome 16:NC_051130.1/CM026247.1; chromosome 17:NC_051131.1/CM026248.1; chromosome 18:NC_051132.1/CM026249.1; chromosome 19:NC_051133.1/CM026250.1; chromosome 20:NC_051134.1/CM026251.1; chromosome 21:NC_051135.1/CM026252.1; chromosome 22:NC_051136.1/CM026253.1; chromosome 23:NC_051137.1/CM026254.1; chromosome 24:NC_051138.1/CM026255.1; chromosome 25:NC_051139.1/CM026256.1; chromosome 26:NC_051140.1/CM026257.1; chromosome 27:NC_051141.1/CM026258.1; chromosome 28:NC_051142.1/CM026259.1; mitochondrion MT:NC_010266.1/	JACVES01	4057	19933.0	24854.0	2020/09/30	2020/10/02	Chromosome	NCBI	SAMN15881793	1.2468770380775598
1370	Oryx dammah	59534	PRJNA694191	694191	Animals	Mammals	2707.18	41.8	GCA_014754425.2		JABAEV01	9089	32410.0	43950.0	2020/09/25	2021/03/12	Scaffold	NCBI	SAMN14518290	1.3560629435359457
1373	Octopus vulgaris	6645	PRJEB61267	973388	Animals	Other Animals	2800.46	36.2712	GCA_951406725.2	chromosome 1:OX597814.1; chromosome 2:OX597815.1; chromosome 3:OX597816.1; chromosome 4:OX597817.1; chromosome 5:OX597818.1; chromosome 6:OX597819.1; chromosome 7:OX597820.1; chromosome 8:OX597821.1; chromosome 9:OX597822.1; chromosome 10:OX597823.1; chromosome 11:OX597824.1; chromosome 12:OX597825.1; chromosome 13:OX597826.1; chromosome 14:OX597827.1; chromosome 15:OX597828.1; chromosome 16:OX597829.1; chromosome 17:OX597830.1; chromosome 18:OX597831.1; chromosome 19:OX597832.1; chromosome 20:OX597833.1; chromosome 21:OX597834.1; chromosome 22:OX597835.1; chromosome 23:OX597836.1; chromosome 24:OX597837.1; chromosome 25:OX597838.1; chromosome 26:OX597839.1; chromosome 27:OX597840.1; chromosome 28:OX597841.1; chromosome 29:OX597842.1; chromosome 30:OX597843.1; mitochondrion MT:OY720585.1	CATOCA02	227	25127.0	30134.0	2023/05/17	2023/08/09	Chromosome	Centro Nacional de Análisis Genómico	SAMEA112889386	1.199267719982489
1381	Branchiostoma belcheri	7741	PRJNA358734	358734	Animals	Other Animals	426.124	41.3998	GCA_001625305.1	mitochondrion MT:NC_004537.1/	AYSS01	2308	26869.0	34675.0	2016/04/21	2016/04/21	Scaffold	NCBI	SAMN04869859	1.2905206743831181
1384	Mizuhopecten yessoensis	6573	PRJNA390633	390633	Animals	Other Animals	987.589	37.6	GCA_002113885.2		NEDP02	82659	27287.0	41556.0	2017/04/27	2017/06/12	Scaffold	NCBI	SAMN03013375	1.5229230036281014
1386	Larimichthys crocea	215358	PRJNA354443	354443	Animals	Fishes	657.94	41.3589	GCA_000972845.2	chromosome I:NC_040011.1/CM011615.1; chromosome II:NC_040012.1/CM011616.1; chromosome III:NC_040013.1/CM011617.1; chromosome IV:NC_040014.1/CM011618.1; chromosome V:NC_040015.1/CM011619.1; chromosome VI:NC_040016.1/CM011620.1; chromosome VII:NC_040017.1/CM011621.1; chromosome VIII:NC_040018.1/CM011622.1; chromosome IX:NC_040019.1/CM011623.1; chromosome X:NC_040020.1/CM011624.1; chromosome XI:NC_040021.1/CM011625.1; chromosome XII:NC_040022.1/CM011626.1; chromosome XIII:NC_040023.1/CM011627.1; chromosome XIV:NC_040024.1/CM011628.1; chromosome XV:NC_040025.1/CM011629.1; chromosome XVI:NC_040026.1/CM011630.1; chromosome XVII:NC_040027.1/CM011631.1; chromosome XVIII:NC_040028.1/CM011632.1; chromosome XIX:NC_040029.1/CM011633.1; chromosome XX:NC_040030.1/CM011634.1; chromosome XXI:NC_040031.1/CM011635.1; chromosome XXII:NC_040032.1/CM011636.1; chromosome XXIII:NC_040033.1/CM011637.1; chromosome XXIV:NC_040034.1/CM011638.1; mitochondrion MT:NC_011710.1/	JRPU02	9998	27392.0	46335.0	2015/04/16	2018/11/27	Chromosome	NCBI	SAMN03092871	1.6915522780373833
1388	Cucurbita pepo subsp. pepo	3664	PRJNA421955	421955	Plants	Land Plants	260.364	37.2295	GCA_002806865.2	chromosome LG01:NC_036638.1/CM008918.1; chromosome LG02:NC_036639.1/CM008919.1; chromosome LG03:NC_036640.1/CM008920.1; chromosome LG04:NC_036641.1/CM008921.1; chromosome LG05:NC_036642.1/CM008922.1; chromosome LG06:NC_036643.1/CM008923.1; chromosome LG07:NC_036644.1/CM008924.1; chromosome LG08:NC_036645.1/CM008925.1; chromosome LG09:NC_036646.1/CM008926.1; chromosome LG10:NC_036647.1/CM008927.1; chromosome LG11:NC_036648.1/CM008928.1; chromosome LG12:NC_036649.1/CM008929.1; chromosome LG13:NC_036650.1/CM008930.1; chromosome LG14:NC_036651.1/CM008931.1; chromosome LG15:NC_036652.1/CM008932.1; chromosome LG16:NC_036653.1/CM008933.1; chromosome LG17:NC_036654.1/CM008934.1; chromosome LG18:NC_036655.1/CM008935.1; chromosome LG19:NC_036656.1/CM008936.1; chromosome LG20:NC_036657.1/CM008937.1; mitochondrion MT:NC_014050.1/	NHTM01	24194	35783.0	43464.0	2017/12/04	2017/12/07	Chromosome	NCBI	SAMN07125871	1.2146550037727413
1395	Nicotiana tomentosiformis	4098	PRJNA182501	182501	Plants	Land Plants	1688.47	39.0999	GCA_000390325.2	chloroplast Pltd:NC_007602.1/	ASAG01	159548	45486.0	50113.0	2013/05/10	2016/08/02	Scaffold	Philip Morris International R&D	SAMN02981530	1.1017236072637735
1401	Eriocheir sinensis	95602	PRJNA883401	883401	Animals	Other Animals	1765.83	41.6963	GCA_024679095.1	chromosome 1:CM045375.1; chromosome 2:CM045376.1; chromosome 3:CM045377.1; chromosome 4:CM045378.1; chromosome 5:CM045379.1; chromosome 6:CM045380.1; chromosome 7:CM045381.1; chromosome 8:CM045382.1; chromosome 9:CM045383.1; chromosome 10:CM045384.1; chromosome 11:CM045385.1; chromosome 12:CM045386.1; chromosome 13:CM045387.1; chromosome 14:CM045388.1; chromosome 15:CM045389.1; chromosome 16:CM045390.1; chromosome 17:CM045391.1; chromosome 18:CM045392.1; chromosome 19:CM045393.1; chromosome 20:CM045394.1; chromosome 21:CM045395.1; chromosome 22:CM045396.1; chromosome 23:CM045397.1; chromosome 24:CM045398.1; chromosome 25:CM045399.1; chromosome 26:CM045400.1; chromosome 27:CM045401.1; chromosome 28:CM045402.1; chromosome 29:CM045403.1; chromosome 30:CM045404.1; chromosome 31:CM045405.1; chromosome 32:CM045406.1; chromosome 33:CM045407.1; chromosome 34:CM045408.1; chromosome 35:CM045409.1; chromosome 36:CM045410.1; chromosome 37:CM045411.1; chromosome 38:CM045412.1; chromosome 39:CM045413.1; chromosome 40:CM045414.1; chromosome 41:CM045415.1; chromosome 42:NC_066550.1/CM045416.1; chromosome 43:NC_066551.1/CM045417.1; chromosome 44:NC_066552.1/CM045418.1; chromosome 45:NC_066553.1/CM045419.1; chromosome 46:NC_066554.1/CM045420.1; chromosome 47:NC_066555.1/CM045421.1; chromosome 48:NC_066556.1/CM045422.1; chromosome 49:NC_066557.1/CM045423.1; chromosome 50:NC_066558.1/CM045424.1; chromosome 51:NC_066559.1/CM045425.1; chromosome 52:NC_066560.1/CM045426.1; chromosome 53:NC_066561.1/CM045427.1; chromosome 54:NC_066562.1/CM045428.1; chromosome 55:NC_066563.1/CM045429.1; chromosome 56:NC_066564.1/CM045430.1; chromosome 57:NC_066565.1/CM045431.1; chromosome 58:NC_066566.1/CM045432.1; chromosome 59:NC_066567.1/CM045433.1; chromosome 60:NC_066568.1/CM045434.1; chromosome 61:NC_066569.1/CM045435.1; chromosome 62:NC_066570.1/CM045436.1; chromosome 63:NC_066571.1/CM045437.1; chromosome 64:NC_066572.1/CM045438.1; chromosome 65:NC_066573.1/CM045439.1; chromosome 66:NC_066574.1/CM045440.1; chromosome 67:NC_066575.1/CM045441.1; chromosome 68:NC_066576.1/CM045442.1; chromosome 69:NC_066577.1/CM045443.1; chromosome 70:NC_066578.1/CM045444.1	JAHNEI01	2160	14142.0	23300.0	2022/08/15	2022/08/16	Chromosome	NCBI	SAMN19679052	1.6475746004808371
